cardamom,sugar,asafoetida,mustard,salt,bay leaves,chilli,cloves,coriander,garam masala,garlic,ginger,onion,saffron,chilli powder,cumin,fenugreek leaves,turmeric,fenugreek,honey,sesame seed,curry leaves,nigella seeds,black pepper,poppy seed,oregano,parsley,citric acid,fennel,tamarind,caraway,star anise,nutmeg,white peppercorns,panch phoron,pepper,basil,mace,green peppercorns,baharat,rose petals,chives,cardamom seed,molasses,madras curry,cinnamon
0,0,0,0,0,0,0,0,0.171717167,0,0,0,0.828282833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010416667,0,0,0,0.010416667,0,0,0,0.427083373,0,0,0,0.489583373,0.010416667,0,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666668,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.219999999,0,0,0,0.779999971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.01010101,0,0,0,0.030303031,0,0,0,0,0,0,0,0.959595978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.979798019,0,0,0,0,0,0,0,0.02020202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.113402061,0,0,0,0.206185579,0.010309278,0,0,0,0,0,0,0.649484575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020618556,0,0,0,0,0,0,0,0
0.010204081,0,0,0,0,0,0.010204081,0,0.020408163,0,0.010204081,0,0.704081655,0.010204081,0,0,0,0,0,0,0.224489808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010204081,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.939999998,0,0,0,0.059999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.01010101,0,0,0,0,0,0,0,0.98989898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.01010101,0,0,0,0.060606062,0.01010101,0,0,0,0,0,0,0.909090936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01010101,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.878787875,0,0,0,0.121212117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0,0,0,0,0,0,0.970000029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010416667,0,0,0,0.010416667,0.010416667,0.010416667,0,0.072916672,0.020833334,0.010416667,0,0.197916687,0.041666668,0,0,0.010416667,0.010416667,0,0,0.510416746,0,0,0,0,0,0.010416667,0,0,0,0,0,0,0,0.010416667,0,0,0.041666668,0,0.010416667,0,0.010416667,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.99000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0.01,0,0,0,0.100000001,0,0,0,0,0,0,0,0.879999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
0.010204081,0,0,0,0,0,0.030612245,0,0.030612245,0,0.010204081,0,0.826530635,0.010204081,0,0,0,0,0,0,0.071428575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010204081,0,0,0,0,0,0,0,0
0.029411769,0.009803923,0.009803923,0,0.029411769,0.009803923,0.009803923,0.009803923,0.245098069,0.019607846,0.019607846,0.009803923,0.156862766,0.039215691,0.019607846,0.009803923,0.009803923,0.009803923,0,0.009803923,0.049019616,0.009803923,0.009803923,0.009803923,0.009803923,0.009803923,0.019607846,0.009803923,0,0.009803923,0,0.009803923,0,0.009803923,0.019607846,0.009803923,0,0.068627462,0.009803923,0.009803923,0.009803923,0.029411769,0,0.009803923,0.009803923,0.009803923
0,0,0,0,0,0,0,0,0.070707068,0,0,0,0.919191957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01010101,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.111111112,0.01010101,0,0,0,0,0,0,0.878787875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
