"cardamom","sugar","asafoetida","mustard","salt","bay leaves","chilli","cloves","coriander","garam masala","garlic","ginger","onion","saffron","chilli powder","cumin","fenugreek leaves","turmeric","fenugreek","honey","sesame seed","curry leaves","nigella seeds","black pepper","poppy seed","oregano","parsley","citric acid","fennel","tamarind","caraway","star anise","nutmeg","white peppercorns","panch phoron","pepper","basil","mace","green peppercorns","baharat","rose petals","chives","cardamom seed","molasses","madras curry","cinnamon"
0.04,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.25,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00218128938439166,0,0,0,0.00363548230731944,0.00290838584585555,0.0436257876878333,0.00242365487154629,0.0436257876878333,0.00363548230731944,0.0109064469219583,0.0109064469219583,0.872515753756665,0.00363548230731944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00045662100456621,0.0045662100456621,0,0,0,0.00182648401826484,0.0273972602739726,0,0.0045662100456621,0.0045662100456621,0.0410958904109589,0.0182648401826484,0.328767123287671,0,0.0091324200913242,0.0045662100456621,0.547945205479452,0.00228310502283105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0045662100456621
0,0,0.000897666068222621,0.861759425493716,0.000897666068222621,0,0.0161579892280072,0,0.00179533213644524,0,0.0107719928186715,0.0107719928186715,0.0861759425493716,0,0.00359066427289048,0.00538599640933573,0,0.00179533213644524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.037037037037037,0.0740740740740741,0.037037037037037,0,0,0,0.037037037037037,0,0,0,0,0,0.0740740740740741,0.037037037037037,0,0.037037037037037,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00840336134453781,0,0.00840336134453781,0,0,0,0,0.00840336134453781,0,0,0,0,0.80672268907563,0,0,0.100840336134454,0.0672268907563025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0350877192982456,0,0.842105263157895,0,0,0,0,0,0,0,0,0.0701754385964912,0,0,0,0,0,0.0526315789473684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.111111111111111,0,0.222222222222222,0,0,0,0.111111111111111,0,0,0,0,0,0.333333333333333,0.111111111111111,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.00709219858156028,0,0.0283687943262411,0,0.25531914893617,0,0,0,0.680851063829787,0,0,0.0141843971631206,0,0.0141843971631206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0117647058823529,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0470588235294118,0,0,0.117647058823529,0,0,0,0,0,0.117647058823529,0.117647058823529,0,0.0588235294117647,0.0588235294117647,0,0,0,0.117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647058823529
0,0,0,0,0.0490196078431373,0,0,0,0,0,0,0,0.941176470588235,0,0,0,0,0,0.00980392156862745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.032258064516129,0.0645161290322581,0.129032258064516,0,0.258064516129032,0,0.387096774193548,0,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0122699386503067,0,0.049079754601227,0,0.907975460122699,0,0,0,0,0,0,0.0245398773006135,0,0.00613496932515337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0178571428571429,0.00892857142857143,0.00892857142857143,0.03125,0,0.267857142857143,0,0.660714285714286,0,0,0,0,0,0.00446428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0483870967741935,0.00403225806451613,0,0.00403225806451613,0,0.0161290322580645,0,0.00806451612903226,0,0.032258064516129,0.00806451612903226,0,0,0.0241935483870968,0.0241935483870968,0,0.00806451612903226,0.774193548387097,0,0.0483870967741935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000662269930185711,0.00165567482546428,0,0,0.00165567482546428,0,0.0794723916222854,0.00220756643395237,0,0,0.00993404895278567,0.00662269930185711,0.238417174866856,0,0,0.00993404895278567,0.635779132978283,0,0,0,0,0,0,0.00041391870636607,0.0132453986037142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0082135523613963,0,0.0164271047227926,0.0164271047227926,0,0.0328542094455852,0,0.0985626283367557,0,0,0,0.788501026694045,0,0,0,0,0.0082135523613963,0,0,0,0.0308008213552361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0769230769230769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923076923076923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0625,0.03125,0,0,0,0.75,0,0,0,0,0,0.125,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
